diffNuisances run on fitDiagnosticsM400.root, at 2021-01-20 17:30:09.866872 with the following options ... {'absolute_values': False, 'show_all_parameters': False, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '1', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin33_qqWWqq         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin34_TT         +0.00, 0.68        -0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin34_Wjets      ! +0.00, 0.39!        -0.00, 0.59       +0.01
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin37_TT         +0.00, 0.66        +0.00, 0.96       +0.00
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin38_TT         +0.00, 0.67        -0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin38_Wjets      ! +0.00, 0.08!     ! +0.00, 0.12!       +0.01
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin38_WmHWWlnuqq_M125         +0.00, 0.68        -0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_MEKDTAG_M1500_C0.01_2016_bin39      ! +0.00, 0.46!        -0.00, 0.72       +0.04
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin0_DY         +0.00, 0.59        -0.00, 0.98       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin0_QCD      ! +0.00, 0.19!     ! -0.00, 0.39!       -0.04
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin0_SingleTop         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin0_TT         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin0_Wjets         +0.00, 0.58        -0.00, 0.98       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin10_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin10_Wjets      ! +0.00, 0.40!        +0.00, 0.64       +0.06
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin10_tW         +0.00, 0.65        +0.00, 0.98       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_SingleTop         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_Wjets      ! +0.00, 0.13!     ! +0.00, 0.22!       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_WmHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin11_tW         +0.00, 0.65        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin12      ! +0.00, 0.46!        +0.00, 0.70       +0.02
